Year,Type,Title,D,Y
44287,専門,COVID-19 with Stigma: Theory and Evidence from Mobility Data,0,44287
44230,専門,Ambiguity and Self-Protection: Evidence from Social Distancing under the Covid-19 Pandemic,0,44230
44023,専門,Social Comparisons and Cooperation during COVID-19,0,44023
44166,専門,Simulating the Impacts of Interregional Mobility Restriction on the Spatial Spread of COVID-19 in Japan,0,44166
43969,専門,Changes of Urban Activities and Behaviors Due to COVID-19 in Japan,0,43969
43993,専門,Japanese citizens' behavioral changes and preparedness against COVID-19: An online survey during the early phase of the pandemic,0,43993
44378,専門,Effective but fragile? Responses to repeated nudge-based messages for preventing the spread of COVID-19 infection,0,44378
43979,専門,COVID-19 and Social Distancing in the Absence of Legal Enforcement: Survey Evidence from Japan,0,43979
44470,専門,Social punishment for breaching restrictions during the COVID-19 pandemic,0,44470
44357,専門,Japan’s voluntary lockdown,0,44357
44378,専門,Japan’s voluntary lockdown: further evidence based on age-specific mobile location data,0,44378
43979,専門,Impact of the state of emergency declaration for Covid-19 on preventive behaviours and mental conditions in Japan: Difference in difference analysis using panel data,0,43979
44136,専門,Global mortality benefits of COVID-19 action,0,44136
44470,専門,新型コロナウイルス危機のマクロ経済分析,0,44470
44063,専門,感染症拡大モデルにおける行動制限政策と検査隔離政策の比較,0,44063
44166,専門,所得循環から見た外出自粛下の日本経済,0,44166
44027,専門,コロナ禍における現金給付政策の有効性,0,44027
44409,専門,新型コロナ感染の政策課題と分析,0,44409
43952,専門,Why Cash Transfers Are Good Policy in the COVID-19 Pandemic,0,43952
44470,専門,COVID-19 and output in Japan,0,44470
44562,専門,Is There a Trade-Off between COVID-19 Control and Economic Activity? Implications from the Phillips Curve Debate,0,44562
44137,専門,COVID-19 Misperception and Macroeconomy,0,44137
44440,専門,Epidemic and Economic Consequences of Voluntary and Request-based Lockdowns in Japan,0,44440
44256,専門,Who suffers from the COVID-19 shocks? Labor market heterogeneity and welfare consequences in Japan,0,44256
44470,専門,The macroeconomics of COVID-19 exit strategy: the case of Japan,0,44470
44562,専門,Economic Impacts of SARS/MERS/COVID-19 in Asian Countries,0,44562
44440,専門,COVID-19に伴う消費者心理・行動変化に関するアンケート調査,0,44440
44287,専門,コロナ禍における現金給付の家計消費への影響,0,44287
44098,専門,日本人はコロナ禍をどのように過ごしたか？：消費ビッグデータによる購買行動分析,0,44098
44470,専門,新型コロナウィルス感染症拡大時の買い占め行動と消費者トラブル―消費者教育への示唆,0,44470
44413,専門,緊急事態措置実施期間中の家計消費支出の変化に伴う経済波及効果,0,44413
44501,専門,コロナ禍における家計の消費行動： 巣ごもり需要と買いだめ行動,0,44501
43922,専門,新型コロナ感染拡大に伴うサービス消費自粛の度合いをクレカ取引データから推計する方法,0,43922
44013,専門,Price Index Numbers Under Large-Scale Demand Shocks: The Japanese Experience of the COVID-19 Pandemic,0,44013
44348,専門,Impact of Cash Transfers on Consumption during the COVID-19 Pandemic: Evidence from Japanese Special Cash Payments,0,44348
44378,専門,Who spent their COVID-19 stimulus payment? Evidence from personal finance software in Japan,0,44378
44377,専門,Fear of COVID-19 Contagion: The Idiosyncratic Effects of an Aggregate Pandemic Shock,0,44377
44310,専門,How Did Japan Cope with COVID-19? Big Data and Purchasing Behavior,0,44310
44409,専門,Consumption responses to COVID-19 payments: Evidence from a natural experiment and bank account data,0,44409
44133,専門,A Dynamic Model of Rational Panic Buying,0,44133
44008,専門,Online Consumption During the COVID-19 Crisis: Evidence from Japan,0,44008
44561,専門,Economic analysis based on the mobile phone GPS data and monitoring consumer behavior during the COVID-19 pandemic,0,44561
44277,専門,Inbound Demand in Fear of Pandemic Disease: Consumption with Inventories Perspective,0,44277
43891,専門,The Responses of Consumption and Prices in Japan to the COVID-19 Crisis and the Tohoku Earthquake,0,43891
44447,専門,Impact of COVID-19 on Trade in Services,0,44447
43983,専門,Impacts of COVID-19 on International Trade: Evidence from the First Quarter of 2020,0,43983
44318,専門,Impacts of COVID-19 on Global Value Chains,0,44318
44331,専門,Impacts of Lockdown Policies on International Trade,0,44331
44104,専門,Does Vaccination Mitigate the Negative Impacts of Coronavirus on Trade?,0,44104
44593,専門,The COVID-19 Pandemic and the World Trade Network,0,44593
44439,専門,新型コロナ流行時におけるマスク市場の価格メカニズム－公正性・金融モラル・リテラシー,0,44439
44491,専門,コロナ感染症（COVID-19）拡大下での貯蓄・金融投資行動と個人の主観的認識の役割,0,44491
44013,専門,マクロ環境と国債管理リスク ―コロナショックとリーマンショック時の比較―,0,44013
44256,専門,新型コロナ関連の金融支援に関する実態調査,0,44256
44193,専門,コロナ禍における債務不履行：リース料金支払データを用いた実証分析,0,44193
44133,専門,コロナ禍の第一波が中小企業に与えた影響と信用保証の対応,0,44133
44463,専門,コロナ禍の高齢者の金融行動への影響と金融リテラシー－2019年調査と2021年調査の比較－,0,44463
44540,専門,コロナ禍における銀行券の動向,0,44540
44287,専門,Measuring the Value of Corporate Cash Holdings against Predictable and Unpredictable Negative Shocks,0,44287
44218,専門,"Household financial services, financial literacy, and COVID-19 pandemic",0,44218
44166,専門,Do fiscal policy news shocks affect JGB yield? Evidence from COVID-19,0,44166
44237,専門,COVID-19 and precautionary corporate cash holdings: Evidence from Japan,0,44237
44531,専門,Assessing the impact of COVID-19 on major industries in Japan: A dynamic conditional correlation approach,0,44531
44408,専門,"Ambiguity in a pandemic recession, asset prices, and lockdown policy",0,44408
44425,専門,Regional Interdependence of the Japan REIT Market: A Heteroscedasticity-Robust Time Series Approach,0,44425
43954,専門,On the Evolution of Cryptocurrency Market Efficiency,0,43954
44531,専門,Asset pricing during pandemic lockdown,0,44531
44317,専門,"When the Japanese stock market meets COVID-19: Impact of ownership, China and US exposure, and ESG channels",0,44317
44197,専門,Covid-19 and Optimal Portfolio Selection for Investment in Sustainable Development Goals,0,44197
44540,専門,Developments in Banknotes in Circulation since the Start of the Pandemic,0,44540
44286,専門,新型コロナ危機への財政的対応：2020年前半期の記録,0,44286
44166,専門,2020年8月か9月に旅行に行った者は新型コロナウイルス感染と診断されやすかったか？,0,44166
44197,専門,旅行と新型コロナ感染リスク：第三波前の個票データによる分析,0,44197
44287,専門,パンデミックと財政の役割,0,44287
44075,専門,Fiscal Responses to the COVID-19 Crisis in Japan: The First Six Months,0,44075
44312,専門,Tax or Subsidy on Interregional Travel with Infectious Diseases,0,44312
44176,専門,Where to Go: The Japanese Government's Travel Subsidy during COVID-19,0,44176
44228,専門,Designing a Tourism Stimulus During the COVID-19 Pandemic in Japan,0,44228
44287,専門,Association between participation in the government subsidy programme for domestic travel and symptoms indicative of COVID-19 infection in Japan: cross-sectional study,0,44287
44429,専門,Traveling and Eating Out during the COVID-19 Pandemic: The Go To Campaign Policies in Japan,0,44429
44287,専門,The financial incentivization and communication effects of a government’s postpandemic measure: The “go-to-travel” campaign and consumer behaviors in Japan,0,44287
44562,専門,人流と新型コロナウィルス新規感染者数変化率の動的関係とワクチンの役割,0,44562
44287,専門,新型コロナウイルス感染症をめぐる医療提供体制に関する一考察,0,44287
44287,専門,ワクチン接種の後押し：自律的な意思決定を阻害しないナッジ・メッセージを目指して,0,44287
44228,専門,ワクチン接種意向の状況依存性：新型コロナウイルス感染症ワクチンに対する支払意思額の特徴とその政策的含意,0,44228
44440,専門,新型コロナウイルスのワクチン接種と社会経済的地位の関係について：インターネット調査の結果の報告と考察,0,44440
44228,専門,コロナショックと日本の医療体制：状況報告と論点整理,0,44228
44409,専門,新型コロナ、ワクチン接種と消費行動,0,44409
44154,専門,The impact of COVID-19 employment shocks on suicide and safety net use: An early-stage investigation,0,44154
44318,専門,Willing or Hesitant? A Socioeconomic Study on the Potential Acceptance of COVID-19 Vaccine in Japan,0,44318
44501,専門,COVID-19 Vaccine hesitancy among the younger generation in Japan,0,44501
44317,専門,Family caregiving attitudes: Implications for post-pandemic eldercare in Japan,0,44317
44440,専門,Determinants of COVID-19 vaccine preference: A survey study in Japan,0,44440
44409,専門,Loneliness during the COVID-19 Pandemic: A Comparison between Older and Younger People,0,44409
44501,専門,The Impact of the COVID-19 Pandemic on Physician Visits in Japan,0,44501
44586,専門,COVID-19 and Stigma: Evolution of Self-restraint Behavior,0,44586
44440,専門,"COVID-19, Vaccination, and Consumer Behavior",0,44440
44470,専門,Monthly suicide rates during the COVID-19 pandemic: Evidence from Japan,0,44470
44378,専門,Long-term care at home and female work during the COVID-19 pandemic,0,44378
44353,専門,Financial Meltdown in Swing Hospitals during the COVID-19 Outbreak,0,44353
44211,専門,Increase in suicide following an initial decline during the COVID-19 pandemic in Japan,0,44211
44194,専門,Impact of closing schools on mental health during the COVID-19 pandemic: Evidence using panel data from Japan,0,44194
44440,専門,Impact of Temporary School Closure Due to COVID-19 on the Academic Achievement of Elementary School Students,0,44440
44382,専門,Access to and Demand for Online School Education during the COVID-19 Pandemic in Japan,0,44382
44488,専門,The association of opening K–12 schools with the spread of COVID-19 in the United States: County-level panel data analysis,0,44488
44531,専門,No causal effect of school closures in Japan on the spread of COVID-19 in spring 2020,0,44531
44378,専門,Online learning during school closure due to COVID-19,0,44378
44409,専門,The Effects of Large-Scale Online Classes on Students' Course Evaluations: Evidence from  a Japanese University under the COVID-19  Pandemic,0,44409
44501,専門,Estimating the Effects of Regulating University Face-to-Face Lectures on the Spread of COVID-19: Evidence from Japan,0,44501
44256,専門,What the COVID-19 School Closure Left in Its Wake: Evidence from a Regression Discontinuity Analysis in Japan,0,44256
44470,専門,School closures and mental health during the COVID-19 pandemic in Japan,0,44470
44378,専門,COVID-19's Lockdown and Crime Victimization: The State of Emergency under the Abe Administration in Asian Economic Policy Review has the following publication status,0,44378
44107,専門,The impact of postponing 2020 Tokyo Olympics on the happiness of O-MO-TE-NA-SHI workers in tourism: A consequence of COVID-19,0,44107
44348,専門,コロナ禍初期の緊急事態宣言下における在宅勤務の実施要因と所得や不安に対する影響,0,44348
43952,専門,新型コロナウィルス流行下で就労者や企業が経験する変化―デモグラフィック要因の影響―,0,43952
44440,専門,緊急事態宣言は誰の働き方を変えたか,0,44440
44267,専門,コロナ禍はパート・アルバイト雇用をどう変えたか ―オルタナティブデータによる分析―,0,44267
44284,専門,コロナ禍のEBPM に資する宿泊・飲⾷サービス業の就業者予測,0,44284
44287,専門,新型コロナ・ウイルスが雇用に与える影響,0,44287
44287,専門,コロナ禍が賃金に与える影響,0,44287
44531,専門,COVID-19下における労働供給と配偶関係について（2020年の分析）,0,44531
44562,専門,新型コロナ危機下における男女間賃金,0,44562
44166,専門,第3波直前の我が国における、コロナ禍でのうつ状態と自殺念慮に関するリスクの検討：「新型コロナウイルス流行下における心身の健康状態に関する継続調査」第一回調査結果より,0,44166
44105,専門,新型コロナと在宅勤務の生産性：企業サーベイに基づく概観,0,44105
44409,専門,新型コロナと在宅勤務の生産性：パネルデータ分析,0,44409
44197,専門,新型コロナの影響下での在宅勤務の推進と男女の機会の不平等,0,44197
44287,専門,新型コロナウイルス感染症流行初期の雇用者の就業・生活・ウェルビーイング : パンデミック前後のリアルタイムパネルデータを用いた検証,0,44287
44440,専門,COVID-19 and the Employment Gender Gap,0,44440
44378,専門,Describing the impacts of COVID-19 on the labor market in Japan until June 2020,0,44378
43997,専門,Job Creation during the COVID-19 Pandemic in Japan,0,43997
44621,専門,The heterogeneous effects of COVID-19 on labor markets: People’s movement and non-pharmaceutical interventions,0,44621
44470,専門,Working From Home Leads to More Family-Oriented Men,0,44470
44531,専門,Who can work from home? The roles of job tasks and HRM practices,0,44531
44378,専門,The Impact of COVID-19 on Japanese Firms: Mobility and Resilience via Remote Work,0,44378
44409,専門,A first aid kit to assess welfare impacts,0,44409
44553,専門,Working from home and productivity under the COVID-19 pandemic: Using survey data of four manufacturing firms,0,44553
44092,専門,Productivity of Working from Home during the COVID-19 Pandemic: Evidence from an Employee Survey,0,44092
44197,専門,Productivity of Working from Home during the COVID-19 Pandemic: Evidence from a Firm Survey,0,44197
44440,専門,Productivity of Working from Home during the COVID-19 Pandemic: Panel Data Analysis,0,44440
44313,専門,"COVID-19, self-restraint at home, and pregnancy: evidence from Japan",0,44313
44470,専門,COVID-19 and the intentions to migrate from developing countries: Evidence from online search activities in Southeast Asia,0,44470
44166,専門,"Necessities, Home Production, and Economic Impacts of Stay-at-Home Policies",0,44166
44008,専門,Spread of COVID-19 and Telework: Evidence from Japan,0,44008
44331,専門,Teleworker Performance in the COVID-19 Era in Japan,0,44331
44439,専門,Non-routine Tasks and ICT tools in Telework,0,44439
44426,専門,Telework in the spread of COVID-19,0,44426
44312,専門,COVID-19 and Telework: An International Comparison,0,44312
44207,専門,The impact of closing schools on working from home during the COVID-19 pandemic: Evidence using panel data from Japan,0,44207
44713,専門,How does the Impact of the COVID-19 State of Emergency Change? An Analysis of Preventive Behaviors and Mental Health Using Panel Data in Japan,0,44713
44443,専門,COVID19 拡大による経済ショック : 企業間取引ネットワークからの考察,0,44443
44348,専門,新型コロナウイルス感染症下における企業実態調査の概要,0,44348
44256,専門,大阪府内企業の情報通信技術導入確率に対する新型コロナウイルスの感染症効果,0,44256
44256,専門,新型コロナショックの経済波及効果－地域間産業連関分析による地域別・産業別分析,0,44256
44501,専門,"COVID-19 outbreak and firm-level dynamics in the USA, UK, Europe, and Japan",0,44501
44197,専門,Do Economic Effects of the Anti-COVID-19 Lockdowns in Different Regions Interact through Supply Chains?,0,44197
44363,専門,Uncertainty of Firms’ Economic Outlook During the COVID-19 Crisis,0,44363
44562,専門,COVID-19 Uncertainty Index in Japan: Newspaper-Based Measures and Economic Activities,0,44562
44590,専門,The Impact of Generous Financial Support on Firm Entry and Exit in the Restaurant Industry during the COVID-19 Pandemic,0,44590
44203,専門,The impact of the first wave of the COVID-19 crisis on small and medium-sized enterprises and credit guarantee responses: Early lessons from Japan,0,44203
44273,専門,The Impact of COVID-19 on Global Production Networks: Evidence from Japanese Multinational Firms,0,44273
44284,専門,EBPM に資するコロナ禍における倒産・失業予測モデル,0,44284
43952,専門,新型コロナウィルス感染症への組織対応に関する緊急調査：第三報,0,43952
44378,専門,新型コロナウイルス感染症に対応した企業の対面接触削減について：我が国企業におけるデジタル化・グローバル化との関係についての調査結果の概要,0,44378
43952,専門,新型コロナウィルス感染症への組織対応に関する緊急調査：第二報,0,43952
43952,専門,新型コロナウィルス感染症への組織対応に関する緊急調査：第一報,0,43952
43952,専門,アフターコロナ時代における日本企業のサプライチェーンについての一考察,0,43952
43934,専門,コロナショック後の人出変動と企業倒産：GoogleロケーションデータとTSR倒産データを用いた実証分析,0,43934
44166,専門,コロナ危機対策利用企業の生産性,0,44166
44317,専門,コロナ危機と企業の経済見通しの不確実性,0,44317
44378,専門,Measuring business-level expectations and uncertainty: survey evidence and the COVID-19 pandemic,0,44378
44581,専門,"Zombies, Again? The COVID-19 Business Support Programs in Japan",0,44581
44440,専門,Small business under the COVID-19 crisis: Expected short- and medium-run effects of anti-contagion and economic policies,0,44440
44256,専門,Firm exit during the covid-19 pandemic: Evidence from Japan,0,44256
44348,専門,Productivity of Firms Using Relief Policies during the COVID-19 Crisis,0,44348
44409,専門,"Impact of consumer awareness and behavior on business exit in hospitality, tourism, entertainment, and culture industries under the COVID-19 pandemic",0,44409
43941,専門,感染症の社会経済史的考察―新型コロナウイルス(COVID-19)感染拡大への含意を念頭に―,0,43941
44287,専門,感染症の社会経済史的考察―労働市場への影響を念頭に―,0,44287
44378,専門,感染症の歴史から何を学ぶか？―明治大正期の日本の経験から―,0,44378
44588,専門,感染症の歴史から何を学ぶか？――経済学と他分野との協業に向けて――,0,44588
44550,専門,COVID-19 の感染状況と被害が地価に与える影響の実証分析,0,44550
44089,専門,The propagation of economic impacts through supply chains: The case of a mega-city lockdown to prevent the spread of COVID-19,0,44089
44201,専門,"Infectious Disease, Dynamic and Static Externalities in Two-Location Model: Theoretical and Simulation Analyses",0,44201
44256,専門,新型コロナウイルスと経済分析-学説史からの着想-,0,44256
44531,専門,Social Pressure in Football Matches: An Event Study of Remote Matches in Japan,0,44531
44197,専門,A critical analysis of the impacts of COVID-19 on the global economy and ecosystems and opportunities for circular economy strategies,0,44197
44447,専門,The Public Is Less Likely to Support Women (But not Men) Politicians When They Wear Masks,0,44447
