Title,Type
新型コロナ流行時におけるマスク市場の価格メカニズム－公正性・金融モラル・リテラシー,専門
コロナ感染症（COVID-19）拡大下での貯蓄・金融投資行動と個人の主観的認識の役割,専門
マクロ環境と国債管理リスク ―コロナショックとリーマンショック時の比較―,専門
新型コロナ関連の金融支援に関する実態調査,専門
コロナ禍における債務不履行：リース料金支払データを用いた実証分析,専門
コロナ禍の第一波が中小企業に与えた影響と信用保証の対応,専門
コロナ禍の高齢者の金融行動への影響と金融リテラシー－2019年調査と2021年調査の比較－,専門
コロナ禍における銀行券の動向,専門
新型コロナ危機への財政的対応：2020年前半期の記録,専門
2020年8月か9月に旅行に行った者は新型コロナウイルス感染と診断されやすかったか？,専門
旅行と新型コロナ感染リスク：第三波前の個票データによる分析,専門
パンデミックと財政の役割,専門
人流と新型コロナウィルス新規感染者数変化率の動的関係とワクチンの役割,専門
新型コロナウイルス感染症をめぐる医療提供体制に関する一考察,専門
ワクチン接種の後押し：自律的な意思決定を阻害しないナッジ・メッセージを目指して,専門
ワクチン接種意向の状況依存性：新型コロナウイルス感染症ワクチンに対する支払意思額の特徴とその政策的含意,専門
新型コロナウイルスのワクチン接種と社会経済的地位の関係について：インターネット調査の結果の報告と考察,専門
コロナショックと日本の医療体制：状況報告と論点整理,専門
新型コロナ、ワクチン接種と消費行動,専門
Impact of Temporary School Closure Due to COVID-19 on the Academic Achievement of Elementary School Students,専門
コロナ禍初期の緊急事態宣言下における在宅勤務の実施要因と所得や不安に対する影響,専門
新型コロナウィルス流行下で就労者や企業が経験する変化―デモグラフィック要因の影響―,専門
緊急事態宣言は誰の働き方を変えたか,専門
コロナ禍はパート・アルバイト雇用をどう変えたか ―オルタナティブデータによる分析―,専門
コロナ禍のEBPM に資する宿泊・飲⾷サービス業の就業者予測,専門
新型コロナ・ウイルスが雇用に与える影響,専門
コロナ禍が賃金に与える影響,専門
COVID-19下における労働供給と配偶関係について（2020年の分析）,専門
新型コロナ危機下における男女間賃金,専門
第3波直前の我が国における、コロナ禍でのうつ状態と自殺念慮に関するリスクの検討：「新型コロナウイルス流行下における心身の健康状態に関する継続調査」第一回調査結果より,専門
新型コロナと在宅勤務の生産性：企業サーベイに基づく概観,専門
新型コロナと在宅勤務の生産性：パネルデータ分析,専門
新型コロナの影響下での在宅勤務の推進と男女の機会の不平等,専門
新型コロナウイルス感染症流行初期の雇用者の就業・生活・ウェルビーイング : パンデミック前後のリアルタイムパネルデータを用いた検証,専門
COVID19 拡大による経済ショック : 企業間取引ネットワークからの考察,専門
新型コロナウイルス感染症下における企業実態調査の概要,専門
大阪府内企業の情報通信技術導入確率に対する新型コロナウイルスの感染症効果,専門
新型コロナショックの経済波及効果－地域間産業連関分析による地域別・産業別分析,専門
EBPM に資するコロナ禍における倒産・失業予測モデル,専門
新型コロナウィルス感染症への組織対応に関する緊急調査：第三報,専門
新型コロナウイルス感染症に対応した企業の対面接触削減について：我が国企業におけるデジタル化・グローバル化との関係についての調査結果の概要,専門
新型コロナウィルス感染症への組織対応に関する緊急調査：第二報,専門
新型コロナウィルス感染症への組織対応に関する緊急調査：第一報,専門
アフターコロナ時代における日本企業のサプライチェーンについての一考察,専門
コロナショック後の人出変動と企業倒産：GoogleロケーションデータとTSR倒産データを用いた実証分析,専門
コロナ危機対策利用企業の生産性,専門
コロナ危機と企業の経済見通しの不確実性,専門
感染症の社会経済史的考察―新型コロナウイルス(COVID-19)感染拡大への含意を念頭に―,専門
感染症の社会経済史的考察―労働市場への影響を念頭に―,専門
感染症の歴史から何を学ぶか？―明治大正期の日本の経験から―,専門
感染症の歴史から何を学ぶか？――経済学と他分野との協業に向けて――,専門
COVID-19 の感染状況と被害が地価に与える影響の実証分析,専門
新型コロナウイルスと経済分析-学説史からの着想-,専門
