Y,D,Title
44143,0,新型コロナウィルス感染症の予防行動へのナッジの効果：スマートフォン広告を用いた大規模無作為化対照実験から
44228,0,The bright and dark sides of social media usage during the COVID-19 pandemic: Survey evidence from Japan
44136,0,Social distancing as a public good under the COVID-19 pandemic
44197,0,"Causal impact of masks, policies, behavior on early covid-19 pandemic in the U.S."
44440,0,"Modeling the effects of contact-tracing apps on the spread of the coronavirus disease: Mechanisms, conditions, and efficiency"
44378,0,"The effectiveness of mobility control, shortening of restaurants’ opening hours, and working from home on control of COVID-19 spread in Japan"
44378,0,Unmasking the demand for masks: Analytics of mandating coronavirus masks
44075,0,Does Lockdown Policy Reduce Human Activity?
44378,0,How effective was the restaurant restraining order against COVID-19? A nighttime light study in Japan
44108,0,COVID-19 Enhanced Diminishing Sensitivity in Prospect-Theory Risk Preferences: A Panel Analysis
44287,0,COVID-19 with Stigma: Theory and Evidence from Mobility Data
44230,0,Ambiguity and Self-Protection: Evidence from Social Distancing under the Covid-19 Pandemic
44023,0,Social Comparisons and Cooperation during COVID-19
44166,0,Simulating the Impacts of Interregional Mobility Restriction on the Spatial Spread of COVID-19 in Japan
43969,0,Changes of Urban Activities and Behaviors Due to COVID-19 in Japan
43993,0,Japanese citizens' behavioral changes and preparedness against COVID-19: An online survey during the early phase of the pandemic
44378,0,Effective but fragile? Responses to repeated nudge-based messages for preventing the spread of COVID-19 infection
43979,0,COVID-19 and Social Distancing in the Absence of Legal Enforcement: Survey Evidence from Japan
44470,0,Social punishment for breaching restrictions during the COVID-19 pandemic
44357,0,Japan’s voluntary lockdown
44378,0,Japan’s voluntary lockdown: further evidence based on age-specific mobile location data
43979,0,Impact of the state of emergency declaration for Covid-19 on preventive behaviours and mental conditions in Japan: Difference in difference analysis using panel data
44136,0,Global mortality benefits of COVID-19 action
44470,0,新型コロナウイルス危機のマクロ経済分析
44063,0,感染症拡大モデルにおける行動制限政策と検査隔離政策の比較
44166,0,所得循環から見た外出自粛下の日本経済
44027,0,コロナ禍における現金給付政策の有効性
44409,0,新型コロナ感染の政策課題と分析
43952,0,Why Cash Transfers Are Good Policy in the COVID-19 Pandemic
44470,0,COVID-19 and output in Japan
44562,0,Is There a Trade-Off between COVID-19 Control and Economic Activity? Implications from the Phillips Curve Debate
44137,0,COVID-19 Misperception and Macroeconomy
44440,0,Epidemic and Economic Consequences of Voluntary and Request-based Lockdowns in Japan
44256,0,Who suffers from the COVID-19 shocks? Labor market heterogeneity and welfare consequences in Japan
44470,0,The macroeconomics of COVID-19 exit strategy: the case of Japan
44562,0,Economic Impacts of SARS/MERS/COVID-19 in Asian Countries
44440,0,COVID-19に伴う消費者心理・行動変化に関するアンケート調査
44287,0,コロナ禍における現金給付の家計消費への影響
44098,0,日本人はコロナ禍をどのように過ごしたか？：消費ビッグデータによる購買行動分析
44470,0,新型コロナウィルス感染症拡大時の買い占め行動と消費者トラブル―消費者教育への示唆
44413,0,緊急事態措置実施期間中の家計消費支出の変化に伴う経済波及効果
44501,0,コロナ禍における家計の消費行動： 巣ごもり需要と買いだめ行動
43922,0,新型コロナ感染拡大に伴うサービス消費自粛の度合いをクレカ取引データから推計する方法
44013,0,Price Index Numbers Under Large-Scale Demand Shocks: The Japanese Experience of the COVID-19 Pandemic
44348,0,Impact of Cash Transfers on Consumption during the COVID-19 Pandemic: Evidence from Japanese Special Cash Payments
44378,0,Who spent their COVID-19 stimulus payment? Evidence from personal finance software in Japan
44377,0,Fear of COVID-19 Contagion: The Idiosyncratic Effects of an Aggregate Pandemic Shock
44310,0,How Did Japan Cope with COVID-19? Big Data and Purchasing Behavior
44409,0,Consumption responses to COVID-19 payments: Evidence from a natural experiment and bank account data
44133,0,A Dynamic Model of Rational Panic Buying
44008,0,Online Consumption During the COVID-19 Crisis: Evidence from Japan
44561,0,Economic analysis based on the mobile phone GPS data and monitoring consumer behavior during the COVID-19 pandemic
44277,0,Inbound Demand in Fear of Pandemic Disease: Consumption with Inventories Perspective
43891,0,The Responses of Consumption and Prices in Japan to the COVID-19 Crisis and the Tohoku Earthquake
44447,0,Impact of COVID-19 on Trade in Services
43983,0,Impacts of COVID-19 on International Trade: Evidence from the First Quarter of 2020
44318,0,Impacts of COVID-19 on Global Value Chains
44331,0,Impacts of Lockdown Policies on International Trade
44104,0,Does Vaccination Mitigate the Negative Impacts of Coronavirus on Trade?
44593,0,The COVID-19 Pandemic and the World Trade Network
44439,0,新型コロナ流行時におけるマスク市場の価格メカニズム－公正性・金融モラル・リテラシー
44491,0,コロナ感染症（COVID-19）拡大下での貯蓄・金融投資行動と個人の主観的認識の役割
44013,0,マクロ環境と国債管理リスク ―コロナショックとリーマンショック時の比較―
44256,0,新型コロナ関連の金融支援に関する実態調査
44193,0,コロナ禍における債務不履行：リース料金支払データを用いた実証分析
44133,0,コロナ禍の第一波が中小企業に与えた影響と信用保証の対応
44463,0,コロナ禍の高齢者の金融行動への影響と金融リテラシー－2019年調査と2021年調査の比較－
44540,0,コロナ禍における銀行券の動向
44287,0,Measuring the Value of Corporate Cash Holdings against Predictable and Unpredictable Negative Shocks
44218,0,"Household financial services, financial literacy, and COVID-19 pandemic"
44166,0,Do fiscal policy news shocks affect JGB yield? Evidence from COVID-19
44237,0,COVID-19 and precautionary corporate cash holdings: Evidence from Japan
44531,0,Assessing the impact of COVID-19 on major industries in Japan: A dynamic conditional correlation approach
44408,0,"Ambiguity in a pandemic recession, asset prices, and lockdown policy"
44425,0,Regional Interdependence of the Japan REIT Market: A Heteroscedasticity-Robust Time Series Approach
43954,0,On the Evolution of Cryptocurrency Market Efficiency
44531,0,Asset pricing during pandemic lockdown
44317,0,"When the Japanese stock market meets COVID-19: Impact of ownership, China and US exposure, and ESG channels"
44197,0,Covid-19 and Optimal Portfolio Selection for Investment in Sustainable Development Goals
44540,0,Developments in Banknotes in Circulation since the Start of the Pandemic
44286,0,新型コロナ危機への財政的対応：2020年前半期の記録
44166,0,2020年8月か9月に旅行に行った者は新型コロナウイルス感染と診断されやすかったか？
44197,0,旅行と新型コロナ感染リスク：第三波前の個票データによる分析
44287,0,パンデミックと財政の役割
44075,0,Fiscal Responses to the COVID-19 Crisis in Japan: The First Six Months
44312,0,Tax or Subsidy on Interregional Travel with Infectious Diseases
44176,0,Where to Go: The Japanese Government's Travel Subsidy during COVID-19
44228,0,Designing a Tourism Stimulus During the COVID-19 Pandemic in Japan
44287,0,Association between participation in the government subsidy programme for domestic travel and symptoms indicative of COVID-19 infection in Japan: cross-sectional study
44429,0,Traveling and Eating Out during the COVID-19 Pandemic: The Go To Campaign Policies in Japan
44287,0,The financial incentivization and communication effects of a government’s postpandemic measure: The “go-to-travel” campaign and consumer behaviors in Japan
44562,0,人流と新型コロナウィルス新規感染者数変化率の動的関係とワクチンの役割
44287,0,新型コロナウイルス感染症をめぐる医療提供体制に関する一考察
44287,0,ワクチン接種の後押し：自律的な意思決定を阻害しないナッジ・メッセージを目指して
44228,0,ワクチン接種意向の状況依存性：新型コロナウイルス感染症ワクチンに対する支払意思額の特徴とその政策的含意
44440,0,新型コロナウイルスのワクチン接種と社会経済的地位の関係について：インターネット調査の結果の報告と考察
44228,0,コロナショックと日本の医療体制：状況報告と論点整理
44409,0,新型コロナ、ワクチン接種と消費行動
44154,0,The impact of COVID-19 employment shocks on suicide and safety net use: An early-stage investigation
44318,0,Willing or Hesitant? A Socioeconomic Study on the Potential Acceptance of COVID-19 Vaccine in Japan
44501,0,COVID-19 Vaccine hesitancy among the younger generation in Japan
44317,0,Family caregiving attitudes: Implications for post-pandemic eldercare in Japan
44440,0,Determinants of COVID-19 vaccine preference: A survey study in Japan
44409,0,Loneliness during the COVID-19 Pandemic: A Comparison between Older and Younger People
44501,0,The Impact of the COVID-19 Pandemic on Physician Visits in Japan
44586,0,COVID-19 and Stigma: Evolution of Self-restraint Behavior
44440,0,"COVID-19, Vaccination, and Consumer Behavior"
44470,0,Monthly suicide rates during the COVID-19 pandemic: Evidence from Japan
44378,0,Long-term care at home and female work during the COVID-19 pandemic
44353,0,Financial Meltdown in Swing Hospitals during the COVID-19 Outbreak
44211,0,Increase in suicide following an initial decline during the COVID-19 pandemic in Japan
44194,0,Impact of closing schools on mental health during the COVID-19 pandemic: Evidence using panel data from Japan
44440,0,Impact of Temporary School Closure Due to COVID-19 on the Academic Achievement of Elementary School Students
44382,0,Access to and Demand for Online School Education during the COVID-19 Pandemic in Japan
44488,0,The association of opening K–12 schools with the spread of COVID-19 in the United States: County-level panel data analysis
44531,0,No causal effect of school closures in Japan on the spread of COVID-19 in spring 2020
44378,0,Online learning during school closure due to COVID-19
44409,0,The Effects of Large-Scale Online Classes on Students' Course Evaluations: Evidence from  a Japanese University under the COVID-19  Pandemic
44501,0,Estimating the Effects of Regulating University Face-to-Face Lectures on the Spread of COVID-19: Evidence from Japan
44256,0,What the COVID-19 School Closure Left in Its Wake: Evidence from a Regression Discontinuity Analysis in Japan
44470,0,School closures and mental health during the COVID-19 pandemic in Japan
44378,0,COVID-19's Lockdown and Crime Victimization: The State of Emergency under the Abe Administration in Asian Economic Policy Review has the following publication status
44107,0,The impact of postponing 2020 Tokyo Olympics on the happiness of O-MO-TE-NA-SHI workers in tourism: A consequence of COVID-19
44348,0,コロナ禍初期の緊急事態宣言下における在宅勤務の実施要因と所得や不安に対する影響
43952,0,新型コロナウィルス流行下で就労者や企業が経験する変化―デモグラフィック要因の影響―
44440,0,緊急事態宣言は誰の働き方を変えたか
44267,0,コロナ禍はパート・アルバイト雇用をどう変えたか ―オルタナティブデータによる分析―
44284,0,コロナ禍のEBPM に資する宿泊・飲⾷サービス業の就業者予測
44287,0,新型コロナ・ウイルスが雇用に与える影響
44287,0,コロナ禍が賃金に与える影響
44531,0,COVID-19下における労働供給と配偶関係について（2020年の分析）
44562,0,新型コロナ危機下における男女間賃金
44166,0,第3波直前の我が国における、コロナ禍でのうつ状態と自殺念慮に関するリスクの検討：「新型コロナウイルス流行下における心身の健康状態に関する継続調査」第一回調査結果より
44105,0,新型コロナと在宅勤務の生産性：企業サーベイに基づく概観
44409,0,新型コロナと在宅勤務の生産性：パネルデータ分析
44197,0,新型コロナの影響下での在宅勤務の推進と男女の機会の不平等
44287,0,新型コロナウイルス感染症流行初期の雇用者の就業・生活・ウェルビーイング : パンデミック前後のリアルタイムパネルデータを用いた検証
44440,0,COVID-19 and the Employment Gender Gap
44378,0,Describing the impacts of COVID-19 on the labor market in Japan until June 2020
43997,0,Job Creation during the COVID-19 Pandemic in Japan
44621,0,The heterogeneous effects of COVID-19 on labor markets: People’s movement and non-pharmaceutical interventions
44470,0,Working From Home Leads to More Family-Oriented Men
44531,0,Who can work from home? The roles of job tasks and HRM practices
44378,0,The Impact of COVID-19 on Japanese Firms: Mobility and Resilience via Remote Work
44409,0,A first aid kit to assess welfare impacts
44553,0,Working from home and productivity under the COVID-19 pandemic: Using survey data of four manufacturing firms
44092,0,Productivity of Working from Home during the COVID-19 Pandemic: Evidence from an Employee Survey
44197,0,Productivity of Working from Home during the COVID-19 Pandemic: Evidence from a Firm Survey
44440,0,Productivity of Working from Home during the COVID-19 Pandemic: Panel Data Analysis
44313,0,"COVID-19, self-restraint at home, and pregnancy: evidence from Japan"
44470,0,COVID-19 and the intentions to migrate from developing countries: Evidence from online search activities in Southeast Asia
44166,0,"Necessities, Home Production, and Economic Impacts of Stay-at-Home Policies"
44008,0,Spread of COVID-19 and Telework: Evidence from Japan
44331,0,Teleworker Performance in the COVID-19 Era in Japan
44439,0,Non-routine Tasks and ICT tools in Telework
44426,0,Telework in the spread of COVID-19
44312,0,COVID-19 and Telework: An International Comparison
44207,0,The impact of closing schools on working from home during the COVID-19 pandemic: Evidence using panel data from Japan
44713,0,How does the Impact of the COVID-19 State of Emergency Change? An Analysis of Preventive Behaviors and Mental Health Using Panel Data in Japan
44443,0,COVID19 拡大による経済ショック : 企業間取引ネットワークからの考察
44348,0,新型コロナウイルス感染症下における企業実態調査の概要
44256,0,大阪府内企業の情報通信技術導入確率に対する新型コロナウイルスの感染症効果
44256,0,新型コロナショックの経済波及効果－地域間産業連関分析による地域別・産業別分析
44501,0,"COVID-19 outbreak and firm-level dynamics in the USA, UK, Europe, and Japan"
44197,0,Do Economic Effects of the Anti-COVID-19 Lockdowns in Different Regions Interact through Supply Chains?
44363,0,Uncertainty of Firms’ Economic Outlook During the COVID-19 Crisis
44562,0,COVID-19 Uncertainty Index in Japan: Newspaper-Based Measures and Economic Activities
44590,0,The Impact of Generous Financial Support on Firm Entry and Exit in the Restaurant Industry during the COVID-19 Pandemic
44203,0,The impact of the first wave of the COVID-19 crisis on small and medium-sized enterprises and credit guarantee responses: Early lessons from Japan
44273,0,The Impact of COVID-19 on Global Production Networks: Evidence from Japanese Multinational Firms
44284,0,EBPM に資するコロナ禍における倒産・失業予測モデル
43952,0,新型コロナウィルス感染症への組織対応に関する緊急調査：第三報
44378,0,新型コロナウイルス感染症に対応した企業の対面接触削減について：我が国企業におけるデジタル化・グローバル化との関係についての調査結果の概要
43952,0,新型コロナウィルス感染症への組織対応に関する緊急調査：第二報
43952,0,新型コロナウィルス感染症への組織対応に関する緊急調査：第一報
43952,0,アフターコロナ時代における日本企業のサプライチェーンについての一考察
43934,0,コロナショック後の人出変動と企業倒産：GoogleロケーションデータとTSR倒産データを用いた実証分析
44166,0,コロナ危機対策利用企業の生産性
44317,0,コロナ危機と企業の経済見通しの不確実性
44378,0,Measuring business-level expectations and uncertainty: survey evidence and the COVID-19 pandemic
44581,0,"Zombies, Again? The COVID-19 Business Support Programs in Japan"
44440,0,Small business under the COVID-19 crisis: Expected short- and medium-run effects of anti-contagion and economic policies
44256,0,Firm exit during the covid-19 pandemic: Evidence from Japan
44348,0,Productivity of Firms Using Relief Policies during the COVID-19 Crisis
44409,0,"Impact of consumer awareness and behavior on business exit in hospitality, tourism, entertainment, and culture industries under the COVID-19 pandemic"
43941,0,感染症の社会経済史的考察―新型コロナウイルス(COVID-19)感染拡大への含意を念頭に―
44287,0,感染症の社会経済史的考察―労働市場への影響を念頭に―
44378,0,感染症の歴史から何を学ぶか？―明治大正期の日本の経験から―
44588,0,感染症の歴史から何を学ぶか？――経済学と他分野との協業に向けて――
44550,0,COVID-19 の感染状況と被害が地価に与える影響の実証分析
44089,0,The propagation of economic impacts through supply chains: The case of a mega-city lockdown to prevent the spread of COVID-19
44201,0,"Infectious Disease, Dynamic and Static Externalities in Two-Location Model: Theoretical and Simulation Analyses"
44256,0,新型コロナウイルスと経済分析-学説史からの着想-
44531,0,Social Pressure in Football Matches: An Event Study of Remote Matches in Japan
44197,0,A critical analysis of the impacts of COVID-19 on the global economy and ecosystems and opportunities for circular economy strategies
44447,0,The Public Is Less Likely to Support Women (But not Men) Politicians When They Wear Masks
